feature_ind,sketch_id
0,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11
1,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_13
2,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16
3,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_26
4,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28
5,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_3
6,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30
7,0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_13
8,0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_18
9,0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_30
10,0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_6
11,1233-33433bd3-d72b-4c2a-9ed0-3e83a80f8e94_1
12,1233-33433bd3-d72b-4c2a-9ed0-3e83a80f8e94_12
13,1233-33433bd3-d72b-4c2a-9ed0-3e83a80f8e94_21
14,1233-33433bd3-d72b-4c2a-9ed0-3e83a80f8e94_23
15,1233-33433bd3-d72b-4c2a-9ed0-3e83a80f8e94_24
16,1233-33433bd3-d72b-4c2a-9ed0-3e83a80f8e94_28
17,1233-33433bd3-d72b-4c2a-9ed0-3e83a80f8e94_29
18,1233-33433bd3-d72b-4c2a-9ed0-3e83a80f8e94_31
19,1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_12
20,1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_17
21,1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_24
22,1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_30
23,1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_31
24,1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_5
25,1682-6ebee481-ec2e-4624-a5d2-2e74803e940d_1
26,1682-6ebee481-ec2e-4624-a5d2-2e74803e940d_11
27,1682-6ebee481-ec2e-4624-a5d2-2e74803e940d_19
28,1682-6ebee481-ec2e-4624-a5d2-2e74803e940d_20
29,1682-6ebee481-ec2e-4624-a5d2-2e74803e940d_21
30,1682-6ebee481-ec2e-4624-a5d2-2e74803e940d_31
31,1682-6ebee481-ec2e-4624-a5d2-2e74803e940d_8
32,1752-fba5d4af-f103-4e3a-b100-d479bb0a2d11_2
33,1752-fba5d4af-f103-4e3a-b100-d479bb0a2d11_21
34,1752-fba5d4af-f103-4e3a-b100-d479bb0a2d11_23
35,1752-fba5d4af-f103-4e3a-b100-d479bb0a2d11_32
36,1752-fba5d4af-f103-4e3a-b100-d479bb0a2d11_7
37,1970-1377644d-0742-4343-ae91-737a5b0fbd1f_17
38,1970-1377644d-0742-4343-ae91-737a5b0fbd1f_19
39,1970-1377644d-0742-4343-ae91-737a5b0fbd1f_20
40,1970-1377644d-0742-4343-ae91-737a5b0fbd1f_23
41,1970-1377644d-0742-4343-ae91-737a5b0fbd1f_26
42,1970-1377644d-0742-4343-ae91-737a5b0fbd1f_27
43,1970-1377644d-0742-4343-ae91-737a5b0fbd1f_4
44,1970-1377644d-0742-4343-ae91-737a5b0fbd1f_8
45,2121-a3dd33f4-82fc-4913-991c-1d372f6923f0_16
46,2121-a3dd33f4-82fc-4913-991c-1d372f6923f0_17
47,2121-a3dd33f4-82fc-4913-991c-1d372f6923f0_19
48,2121-a3dd33f4-82fc-4913-991c-1d372f6923f0_23
49,2121-a3dd33f4-82fc-4913-991c-1d372f6923f0_32
50,2121-a3dd33f4-82fc-4913-991c-1d372f6923f0_4
51,2137-5eb24312-af96-43dc-bb4b-76ac0d817ede_11
52,2137-5eb24312-af96-43dc-bb4b-76ac0d817ede_18
53,2137-5eb24312-af96-43dc-bb4b-76ac0d817ede_2
54,2137-5eb24312-af96-43dc-bb4b-76ac0d817ede_30
55,2137-5eb24312-af96-43dc-bb4b-76ac0d817ede_31
56,2137-5eb24312-af96-43dc-bb4b-76ac0d817ede_5
57,2216-946e1652-c7ea-4dc7-8829-129c7cc55176_17
58,2216-946e1652-c7ea-4dc7-8829-129c7cc55176_18
59,2216-946e1652-c7ea-4dc7-8829-129c7cc55176_19
60,2216-946e1652-c7ea-4dc7-8829-129c7cc55176_24
61,2216-946e1652-c7ea-4dc7-8829-129c7cc55176_26
62,2216-946e1652-c7ea-4dc7-8829-129c7cc55176_7
63,2323-a9c585ff-0096-4f9c-8be4-e202993c654f_25
64,2323-a9c585ff-0096-4f9c-8be4-e202993c654f_27
65,2323-a9c585ff-0096-4f9c-8be4-e202993c654f_29
66,2323-a9c585ff-0096-4f9c-8be4-e202993c654f_3
67,2323-a9c585ff-0096-4f9c-8be4-e202993c654f_32
68,2323-a9c585ff-0096-4f9c-8be4-e202993c654f_7
69,2611-14794729-06be-4093-aac5-8a631b1fa894_14
70,2611-14794729-06be-4093-aac5-8a631b1fa894_19
71,2611-14794729-06be-4093-aac5-8a631b1fa894_26
72,2611-14794729-06be-4093-aac5-8a631b1fa894_31
73,2611-14794729-06be-4093-aac5-8a631b1fa894_32
74,2611-14794729-06be-4093-aac5-8a631b1fa894_6
75,2611-14794729-06be-4093-aac5-8a631b1fa894_7
76,2721-f28245be-a3ac-425e-9538-5c0803980807_12
77,2721-f28245be-a3ac-425e-9538-5c0803980807_16
78,2721-f28245be-a3ac-425e-9538-5c0803980807_22
79,2721-f28245be-a3ac-425e-9538-5c0803980807_24
80,2721-f28245be-a3ac-425e-9538-5c0803980807_8
81,3058-fb4fe740-d862-453b-a08f-44375a040165_11
82,3058-fb4fe740-d862-453b-a08f-44375a040165_25
