feature_ind,sketch_id
0,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_armrest_6
1,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_backrest_0
2,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_backrest_10
3,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_backrest_11
4,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_backrest_12
5,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_backrest_13
6,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_backrest_8
7,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_backrest_9
8,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_leg_3
9,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_leg_4
10,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_leg_5
11,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_seat_1
12,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_seat_2
13,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11_unknown_7
14,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_13_armrest_6
15,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_13_backrest_2
16,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_13_leg_0
17,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_13_leg_1
18,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_13_leg_8
19,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_13_leg_9
20,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_13_unknown_3
21,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_13_unknown_4
22,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_13_unknown_5
23,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_13_unknown_7
24,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_armrest_1
25,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_armrest_2
26,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_armrest_3
27,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_armrest_4
